,no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img
50,51,Kowloon Bay International Trade &amp; Exhibition Centre,22.3230495452881,114.204521179199,Standard,Kowloon,Kwun Tong,"Kowloon Bay International Trade &amp; Exhibition Centre, 
Carpark Level B2, 1 Trademart Drive, Kowloon Bay, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Hong%20Kong%20International%20Trade%20and%20Exhibition%20Centre.jpg
51,52,Kwun Tong Harbour Plaza,22.3091583251953,114.221244812012,Standard,Kowloon,Kwun Tong,"Kwun Tong Harbour Plaza Carpark Level 6,
182 Wai Yip Street, Kwun Tong, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Kwun%20Tong%20Harbour%20Plaza.jpg
52,53,Metro Centre,22.32448387146,114.210235595703,Standard,Kowloon,Kwun Tong,"Metro Centre Carpark G/F, 
32 Lam Hing Street, Kowloon Bay Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Metro%20Centre.jpg
53,54,Metro Centre II,22.3246746063232,114.210952758789,Standard,Kowloon,Kwun Tong,"Metro Centre II Carpark G/F, 
21 Lam Hing Street, Kowloon Bay, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Metro%20Centre%20II.jpg
54,55,Remington Centre,22.3130493164063,114.219802856445,Standard,Kowloon,Kwun Tong,"Remington Centre G/F Carpark, 
23 Hung To Road, Kwun Tong, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg
55,56,Skyline Tower,22.3260250091553,114.205360412598,Standard,Kowloon,Kwun Tong,"Skyline Tower Carpark Level 2, 
39 Wang Kwong Road, Kowloon Bay, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Skyline%20Tower.jpg
56,57,Westin Centre,22.3130893707275,114.219520568848,Standard,Kowloon,Kwun Tong,"Westin Centre Carpark 1/F, 
26 Hung To Road, Kwun Tong, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Westin%20Centre.jpg
57,58,Hollywood Plaza,22.3406944274902,114.203102111816,Standard,Kowloon,Wong Tai Sin,"Hollywood Plaza Carpark B1, 
3 Lung Poon Street, Diamond Hill, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Hollywood%20Plaza.jpg
58,59,Empire Centre,22.2986316680908,114.178428649902,Standard,Kowloon,Yau Tsim Mong,"Empire Centre Carpark B/F, 
68 Mody Road, Tsim Sha Tsui, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Empire%20Centre.jpg
59,60,K11 Art Mall,22.2971534729004,114.173316955566,Standard,Kowloon,Yau Tsim Mong,"K11 Art Mall Carpark B4, 
18 Hanoi Road, Tsim Sha Tsui, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/K11%20Art%20Mall.jpg
60,61,Olympian City I,22.3200588226318,114.157608032227,Standard,Kowloon,Yau Tsim Mong,"Olympian City I Carpark UG, 
11 Hoi Fai Road, West Kowloon, Kln",Others,,/EV/PublishingImages/common/map/map_thumb/Olympian%20City%20I.jpg
61,62,Avon Park,22.4874782562256,114.142448425293,Standard,New Territories,North,"Avon Park, Carpark B1/F, 
15 Yat Ming Road, Fanling, N.T.",Others,,/EV/PublishingImages/common/map/map_thumb/Avon%20Park.jpg
62,63,Cambridge Plaza,22.5064926147461,114.122360229492,Standard,New Territories,North,"Cambridge Plaza Carpark G/F, 
188 San Wan Road, Sheung Shui, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Cambridge%20Plaza.jpg
63,64,Grand Regentville,22.5003337860107,114.144653320313,Standard,New Territories,North,"Grand Regentville Carpark B2, 
9 Wo Mun Street, Fanling, N.T.",Others,,/EV/PublishingImages/common/map/map_thumb/Grand%20Regentville.jpg
64,65,Regentville Shopping Mall,22.5012283325195,114.143859863281,Standard,New Territories,North,"Regentville Shopping Mall Carpark B1/F,  
8 Wo Mun Street, Fanling, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg
65,66,Corporation Park,22.3893356323242,114.207504272461,Standard,New Territories,Shatin,"Corporation Park Carpark G/F, 
11 On Lai Street, Shatin, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Corporation%20Park.jpg
66,67,Shatin Galleria,22.3972835540771,114.193092346191,Standard,New Territories,Shatin,"Shatin Galleria Carpark 4/F, 
18-24 Shan Mei Street, Fo Tan, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Shatin%20Galleria.jpg
67,68,Discovery Park Shopping Mall,22.3760948181152,114.112968444824,Standard,New Territories,Tsuen Wan,"Discovery Park Shopping Mall Carpark Level 4, 
398 Castle Park Road, Tsuen Wan, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Discovery%20Park%20Shopping%20Mall.jpg
68,69,Panda Place,22.3691139221191,114.120895385742,Standard,New Territories,Tsuen Wan,"Panda Place Carpark 4/F, 
3 Tuen Wah Street, Tsuen Wan, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Panda%20Place.jpg
69,70,Riviera Plaza,22.3629608154297,114.114402770996,Standard,New Territories,Tsuen Wan,"Riviera Plaza Carpark B1, 
28 Wing Shun Street,Tsuen Wan, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Riviera%20Plaza.jpg
70,71,Waterside Plaza,22.3633041381836,114.114570617676,Standard,New Territories,Tsuen Wan,"Waterside Plaza Carpark 1/F, 
38 Wing Shun Street,Tsuen Wan, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Waterside%20Plaza.jpg
71,72,Oceania Heights,22.383939743042,113.971618652344,Standard,New Territories,Tuen Mun,"Oceania Heights Carpark Level 1, 
2 Hoi Chu Rd. ,Tuen Mun, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Oceania%20Heights.jpg
72,73,Parklane Centre,22.3961296081543,113.969444274902,Standard,New Territories,Tuen Mun,"Parklane Centre Carpark G/F, 
25 Kin Wing St., Tuen Mun, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Parklane%20Centre.jpg
73,74,Tuen Mun Town Plaza II,22.3938217163086,113.976432800293,Standard,New Territories,Tuen Mun,"Tuen Mun Town Plaza II Carpark G/F, 
3 Tuen Lung St., Tuen Mun, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20II.jpg
74,75,Tuen Mun Town Plaza III,22.3943252563477,113.977485656738,Standard,New Territories,Tuen Mun,"Tuen Mun Town Plaza III Carpark B2/F, 
2 Tuen Yan St., Tuen Mun, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20III.jpg
75,76,Golden Plaza,22.4452037811279,114.031227111816,Standard,New Territories,Yuen Long,"Golden Plaza Carpark 3/F, 
28 Shui Che Kwun St., Yuen Long, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Golden%20Plaza.jpg
76,77,Ping Wui Centre,22.4468116760254,114.022026062012,Standard,New Territories,Yuen Long,"Ping Wui Centre Carpark 1/F, 
13 Ping Wui St., Yuen Long, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Ping%20Wui%20Centre.jpg
77,78,Springdale Villas,22.4404621124268,114.021453857422,Standard,New Territories,Yuen Long,"Springdale Villas Carpark 2/F, 
80 Ma Tin Road, Yuen Long, NT",Others,,/EV/PublishingImages/common/map/map_thumb/Springdale%20Villas.jpg
78,79,Choi Yuen Plaza,22.5014114379883,114.127182006836,Quick,New Territories,North,"Choi Yuen Plaza Carpark 3, G/F, 
Choi Yuen Estate,Sheung Shui ,N.T.",CLP,6,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg
79,80,Trend Centre,22.2659244537354,114.235366821289,Standard,Hong Kong Island,Eastern,"Trend Centre Carpark 1/F,
29-31 Cheung Lee St, Chai Wan, Hong Kong",Others,,/EV/PublishingImages/common/map/Trend%20Centre.jpg
80,81,Amoy Plaza,22.3251075744629,114.21630859375,Standard,Kowloon,Kwun Tong,"Amoy Plaza Carpark 1/F,
77 Ngau Tau Kok Road, Kowloon Bay, Kowloon",Others,,/EV/PublishingImages/common/map/Amoy%20Plaza.jpg
81,82,Excel Centre,22.3389415740967,114.150192260742,Standard,Kowloon,Sham Shui Po,"Excel Centre Carpark G/F,
483A Castle Peak Road, Cheung Sha Wan, Kowloon",Others,,/EV/PublishingImages/common/map/Excel%20Centre.jpg
82,83,Choi Yuen Plaza,22.5002918243408,114.126441955566,SemiQuick,New Territories,North,"Choi Yuen Plaza Carpark 3, G/F, 
Choi Yuen Estate, Sheung Shui ,N.T.",CLP,7-10,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg
83,84,Cheung Fat Plaza,22.3626480102539,114.102630615234,SemiQuick,New Territories,Kwai Tsing,"Cheung Fat Plaza Carpark 2/F,
Cheung Fat Estate, Tsing Yi, N.T.",CLP,2094 - 2096,/EV/PublishingImages/common/map/map_thumb/Entrance_Cheung%20Fat%20Plaza.jpg
84,85,Yau Lai Shopping Centre,22.2985076904297,114.237464904785,SemiQuick,Kowloon,Kwun Tong,"Yau Lai Shopping Centre Carpark LG1/F,
9 Yau Tong Road, Yau Tong, Kowloon",CLP,"27-30, 34-35",/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg
85,86,Yau Lai Shopping Centre,22.2985076904297,114.237464904785,Quick,Kowloon,Kwun Tong,"Yau Lai Shopping Centre Carpark LG1/F,
9 Yau Tong Road, Yau Tong, Kowloon",CLP,"31, 33",/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg
86,87,Choi Tak Shopping Centre,22.3314208984375,114.213768005371,SemiQuick,Kowloon,Kwun Tong,"Choi Tak Shopping Centre Carpark 2/F, 
Ngau Tau Kok, Kowloon",CLP,258-262,/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Tak%20Shopping%20Centre.jpg
87,88,Shui Pin Wai Estate,22.4468097686768,114.022079467773,Quick,New Territories,Yuen Long,"Shui Pin Wai Estate Carpark G/F, 
Yuen Long, N.T.",CLP,7,/EV/PublishingImages/common/map/map_thumb/Entrance_Shui%20Pin%20Wai%20Estate.jpg
88,89,Stanley Plaza,22.2200450897217,114.210319519043,Quick,Hong Kong Island,Southern,"Stanley Plaza Carpark 4/F,
23 Carmel Road, Stanley, Hong Kong",Others,,/EV/PublishingImages/common/map/map_dummy_gov.jpg
89,90,Star Ferry,22.2822742462158,114.160430908203,Quick,Hong Kong Island,Central and Western,"Star Ferry Carpark 4/F,
9 Edinburgh Place, Central, Hong Kong",Others,,/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg
90,91,Hong Kong International Airport,22.3182468414307,113.933815002441,Quick,Outlying Islands,Outlying Islands,"HK International Airport Carpark 4, 1/F,
11 Cheong Tat Road, Hong Kong International Airport-station, Chek Lap Kok",CLP,"1002, 1087-1089",/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20International%20Airport.jpg
91,92,Kwai Chung Shopping Centre,22.367431640625,114.127708435059,SemiQuick,New Territories,Kwai Tsing,"Kwai Chung Shopping Centre Carpark L2,
Kwai Chung Estate, Kwai Chung, NT",CLP,"P115-P120, P168",/EV/PublishingImages/common/map/map_thumb/Entrance_Kwai%20Chung%20Estate.jpg
92,93,Tsuen Wan Multi-storey Car Park,22.373010635376,114.118721008301,Standard;SemiQuick,New Territories,Tsuen Wan,"Tsuen Wan Multi-storey Car Park, 
174-208 Castle Peak Road, Tsuen Wan",Others,,
93,94,Lions Rise Mall,22.3398857116699,114.196968078613,Standard;SemiQuick,Kowloon,Wong Tai Sin,"8 Muk Lun Street, Wong Tai Sin",Others,,
94,95,Sheung Fung Street Market,22.3441123962402,114.196937561035,Standard;SemiQuick,Kowloon,Wong Tai Sin,"Sheung Fung Street Market, Sheung Fung Street, Wong Tai Sin",Others,,
95,96,AIA Financial Centre,22.335033416748,114.199325561523,Standard,Kowloon,Wong Tai Sin,"712 Prince Edward Road East, Sun Po Kong",Others,,
96,97,Queensway Government Offices,22.2772960662842,114.163833618164,Standard;SemiQuick,Hong Kong Island,Central and Western,"Queensway Government Offices, 66 Queensway, Hong Kong",Others,,
97,98,Murray Road Multi-storey Car Park,22.2803325653076,114.162727355957,Standard;SemiQuick,Hong Kong Island,Central and Western,"Murray Road Multi-storey Car Park, 2 Murray Road, Central",Others,,
98,99,Two International Finance Centre,22.2860260009766,114.158569335938,SemiQuick,Hong Kong Island,Central and Western,"Car Park B5, Two International Finance Centre, 8 Finance Street, Central",Others,,
99,100,Rumsey Street Multi-storey Car Park,22.2875308990479,114.152137756348,Standard;SemiQuick,Hong Kong Island,Central and Western,"Rumsey Street Multi-storey Car Park, 2 Rumsey Street, Sheung Wan",Others,,
100,101,City Hall Multi-storey Car Park,22.2817783355713,114.161598205566,Standard;SemiQuick,Hong Kong Island,Central and Western,"City Hall Multi-storey Car Park, 1 Edinburgh Place, Central",Others,,
101,102,Tin Hau Carpark,22.2830295562744,114.191688537598,SemiQuick,Hong Kong Island,Eastern,"Tin Hau Carpark, 3/F,
Lau Sin Street &amp; Electric Road Junction, Tin Hau, Hong Kong",Others,,
102,103,North District Government Offices,22.4953308105469,114.138282775879,Standard;SemiQuick,New Territories,North,"North District Government Offices, 3 Pik Fung Road,
Fanling, N.T.",Others,,
103,104,Sai Kung Government Offices,22.3817367553711,114.271789550781,Standard;SemiQuick,New Territories,Sai Kung,"Sai Kung Government Offices, 34 Chan Man Street, Sai Kung, New Territories",Others,,
104,105,Maritime Square,22.3584804534912,114.105545043945,Standard,New Territories,Kwai Tsing,"Maritime Square, 33 Tsing King Road, Tsing Yi",Others,,
105,106,East Point City,22.315637588501,114.265960693359,SemiQuick,New Territories,Sai Kung,"East Point City, 8 Chung Wa Road, Tseung Kwan O",Others,,
106,107,Wan Chai Tower and Immigration Tower,22.2804927825928,114.17276763916,Standard;SemiQuick,Hong Kong Island,Wan Chai,"12 Harbour Road, Wan Chai",Others,,
107,108,Laws Commercial Plaza,22.3380947113037,114.149971008301,SemiQuick,Kowloon,Sham Shui Po,"788 Cheung Sha Wan Road, Cheung Sha Wan",Others,,
